AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,ToEndPoint,GVQual
,,,,,,,,,,,,,,,
'-171,'-171,613504.551949842,5842704.67355634,613505.713362941,5842712.36573112,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.551949842,5842704.67355634,613505.713362941,5842712.36573112,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.551949842,5842704.67355634,613505.713362941,5842712.36573112,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.551949842,5842704.67355634,613505.713362941,5842712.36573112,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.551949842,5842704.67355634,613505.713362941,5842712.36573112,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.551949842,5842704.67355634,613505.713362941,5842712.36573112,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.555674534,5842704.67898554,613505.724618331,5842712.3659939,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.555674534,5842704.67898554,613505.724618331,5842712.3659939,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.555674534,5842704.67898554,613505.724618331,5842712.3659939,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.555674534,5842704.67898554,613505.724618331,5842712.3659939,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.559399228,5842704.68441474,613505.735873721,5842712.36625668,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.559399228,5842704.68441474,613505.735873721,5842712.36625668,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.559399228,5842704.68441474,613505.735873721,5842712.36625668,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.559399228,5842704.68441474,613505.735873721,5842712.36625668,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.559399228,5842704.68441474,613505.735873721,5842712.36625668,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.559399228,5842704.68441474,613505.735873721,5842712.36625668,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.559399228,5842704.68441474,613505.735873721,5842712.36625668,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.559399228,5842704.68441474,613505.735873721,5842712.36625668,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.563123921,5842704.68984394,613505.74712911,5842712.36651946,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.563123921,5842704.68984394,613505.74712911,5842712.36651946,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.563123921,5842704.68984394,613505.74712911,5842712.36651946,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.563123921,5842704.68984394,613505.74712911,5842712.36651946,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.566848613,5842704.69527314,613505.7583845,5842712.36678224,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.566848613,5842704.69527314,613505.7583845,5842712.36678224,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.566848613,5842704.69527314,613505.7583845,5842712.36678224,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.4,-171,0,0,6.2,4
'-171,'-171,613504.570573306,5842704.70070234,613505.76963989,5842712.36704502,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.570573306,5842704.70070234,613505.76963989,5842712.36704502,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.570573306,5842704.70070234,613505.76963989,5842712.36704502,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.570573306,5842704.70070234,613505.76963989,5842712.36704502,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.570573306,5842704.70070234,613505.76963989,5842712.36704502,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
