AimAng1,AimAang2,Aimx,Aimy,Currentx1,Currenty1,Startx,Starty,Finishx,Finishy,dist,Set_SteerAng,Steerangle,Gogo,ToEndPoint,Qual,Steerangle1,Steerangle2
'-125,'-125,613512.934541857,5842705.30140995,613544.350890191,5842727.23582324,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.3,-125,0,0,49,5,0,0
'-125,'-125,613512.934541857,5842705.30140995,613544.350890191,5842727.23582324,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.3,-125,0,0,49,5,0,0
'-125,'-125,613512.972806165,5842705.24954302,613544.489231468,5842727.25778709,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.43,-125,0,0,49.1,5,0,0
'-125,'-125,613512.972806165,5842705.24954302,613544.489231468,5842727.25778709,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.43,-125,0,0,49.1,5,0,0
'-125,'-125,613513.012272108,5842705.19604728,613544.573715954,5842727.23750333,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.48,-125,0,0,49.1,5,0,0
'-125,'-125,613513.012272108,5842705.19604728,613544.573715954,5842727.23750333,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.48,-125,0,0,49.1,5,0,0
'-125,'-125,613513.012272108,5842705.19604728,613544.573715954,5842727.23750333,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.48,-125,0,0,49.1,5,0,0
'-125,'-125,613512.97330392,5842705.24886832,613544.601291352,5842727.33941623,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.57,-125,0,0,49.1,5,0,0
'-125,'-125,613512.97330392,5842705.24886832,613544.601291352,5842727.33941623,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.57,-125,0,0,49.1,5,0,0
'-125,'-125,613512.916522032,5842705.32583566,613544.593027071,5842727.45217695,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.63,-125,0,0,49,5,0,0
'-125,'-125,613512.916522032,5842705.32583566,613544.593027071,5842727.45217695,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.63,-125,0,0,49,5,0,0
'-125,'-125,613512.916522032,5842705.32583566,613544.593027071,5842727.45217695,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.63,-125,0,0,49,5,0,0
'-125,'-125,613512.957292795,5842705.27057125,613544.652775791,5842727.41091334,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.65,-125,0,0,49.1,5,0,0
'-125,'-125,613512.957292795,5842705.27057125,613544.652775791,5842727.41091334,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.65,-125,0,0,49.1,5,0,0
'-125,'-125,613512.989030749,5842705.22755074,613544.696702061,5842727.37688463,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.66,-125,0,0,49.1,5,0,0
'-125,'-125,613512.989030749,5842705.22755074,613544.696702061,5842727.37688463,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.66,-125,0,0,49.1,5,0,0
'-125,'-125,613512.989030749,5842705.22755074,613544.696702061,5842727.37688463,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.66,-125,0,0,49.1,5,0,0
'-125,'-125,613513.041278269,5842705.15672969,613544.751134854,5842727.30767575,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.67,-125,0,0,49.2,5,0,0
'-125,'-125,613513.041278269,5842705.15672969,613544.751134854,5842727.30767575,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.67,-125,0,0,49.2,5,0,0
'-125,'-125,613513.041278269,5842705.15672969,613544.751134854,5842727.30767575,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.67,-125,0,0,49.2,5,0,0
'-125,'-125,613513.037962505,5842705.16122418,613544.748429228,5842727.31262036,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.67,-125,0,0,49.2,5,0,0
'-125,'-125,613513.037962505,5842705.16122418,613544.748429228,5842727.31262036,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.67,-125,0,0,49.2,5,0,0
'-125,'-125,613512.999583318,5842705.21324682,613544.733853384,5842727.38220368,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.7,-125,0,0,49.2,5,0,0
'-125,'-125,613512.999583318,5842705.21324682,613544.733853384,5842727.38220368,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.7,-125,0,0,49.2,5,0,0
'-125,'-125,613512.999583318,5842705.21324682,613544.733853384,5842727.38220368,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.7,-125,0,0,49.2,5,0,0
'-125,'-125,613512.94485465,5842705.28743105,613544.729009002,5842727.49318954,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.76,-125,0,0,49.1,5,0,0
'-125,'-125,613512.94485465,5842705.28743105,613544.729009002,5842727.49318954,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.76,-125,0,0,49.1,5,0,0
'-125,'-125,613512.918984508,5842705.3224978,613544.729537015,5842727.54773127,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.79,-125,0,0,49.1,5,0,0
'-125,'-125,613512.918984508,5842705.3224978,613544.729537015,5842727.54773127,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.79,-125,0,0,49.1,5,0,0
'-125,'-125,613512.918984508,5842705.3224978,613544.729537015,5842727.54773127,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.79,-125,0,0,49.1,5,0,0
'-125,'-125,613512.886200847,5842705.36693576,613544.694749209,5842727.59069069,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.79,-125,0,0,49,5,0,0
'-125,'-125,613512.886200847,5842705.36693576,613544.694749209,5842727.59069069,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.79,-125,0,0,49,5,0,0
'-125,'-125,613512.886200847,5842705.36693576,613544.694749209,5842727.59069069,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.79,-125,0,0,49,5,0,0
'-125,'-125,613512.83825157,5842705.43193058,613544.443131579,5842727.50543122,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.54,-125,0,0,48.9,5,0,0
'-125,'-125,613512.83825157,5842705.43193058,613544.443131579,5842727.50543122,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.54,-125,0,0,48.9,5,0,0
'-125,'-125,613512.975434769,5842705.24597997,613544.772658212,5842727.46138005,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.78,-125,0,0,49.2,5,0,0
'-125,'-125,613512.975434769,5842705.24597997,613544.772658212,5842727.46138005,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.78,-125,0,0,49.2,5,0,0
'-125,'-125,613512.975434769,5842705.24597997,613544.772658212,5842727.46138005,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.78,-125,0,0,49.2,5,0,0
'-125,'-125,613513.025335783,5842705.17833959,613544.807493719,5842727.38262524,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.76,-125,0,0,49.2,5,0,0
'-125,'-125,613513.025335783,5842705.17833959,613544.807493719,5842727.38262524,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.76,-125,0,0,49.2,5,0,0
'-125,'-125,613512.986384079,5842705.23113828,613544.613654969,5842727.32115757,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.56,-125,0,0,49.1,5,0,0
'-125,'-125,613512.986384079,5842705.23113828,613544.613654969,5842727.32115757,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.56,-125,0,0,49.1,5,0,0
'-125,'-125,613512.986384079,5842705.23113828,613544.613654969,5842727.32115757,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.56,-125,0,0,49.1,5,0,0
'-125,'-125,613512.968778359,5842705.25500267,613544.525460652,5842727.29294594,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.48,-125,0,0,49.1,5,0,0
'-125,'-125,613512.968778359,5842705.25500267,613544.525460652,5842727.29294594,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.48,-125,0,0,49.1,5,0,0
'-125,'-125,613512.968778359,5842705.25500267,613544.525460652,5842727.29294594,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.48,-125,0,0,49.1,5,0,0
'-125,'-125,613512.945176777,5842705.28699441,613544.436313933,5842727.2765824,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.4,-125,0,0,49,5,0,0
'-125,'-125,613512.945176777,5842705.28699441,613544.436313933,5842727.2765824,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.4,-125,0,0,49,5,0,0
'-125,'-125,613512.864113859,5842705.39687448,613544.256946753,5842727.31393949,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.27,-125,0,0,48.8,5,0,0
'-125,'-125,613512.864113859,5842705.39687448,613544.256946753,5842727.31393949,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.27,-125,0,0,48.8,5,0,0
'-125,'-125,613512.864113859,5842705.39687448,613544.256946753,5842727.31393949,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.27,-125,0,0,48.8,5,0,0
'-125,'-125,613512.778048055,5842705.51353591,613544.009696871,5842727.31168899,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.07,-125,0,0,48.6,5,0,0
'-125,'-125,613512.778048055,5842705.51353591,613544.009696871,5842727.31168899,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,38.07,-125,0,0,48.6,5,0,0
'-125,'-125,613512.703834101,5842705.61413227,613543.85844643,5842727.35545244,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.98,-125,0,0,48.5,5,0,0
'-125,'-125,613512.703834101,5842705.61413227,613543.85844643,5842727.35545244,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.98,-125,0,0,48.5,5,0,0
'-125,'-125,613512.574898689,5842705.78890308,613543.559317911,5842727.404665,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.77,-125,0,0,48.2,5,0,0
'-125,'-125,613512.574898689,5842705.78890308,613543.559317911,5842727.404665,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.77,-125,0,0,48.2,5,0,0
'-125,'-125,613512.528453757,5842705.85185877,613543.476712179,5842727.44094342,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.72,-125,0,0,48.1,5,0,0
'-125,'-125,613512.528453757,5842705.85185877,613543.476712179,5842727.44094342,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.72,-125,0,0,48.1,5,0,0
'-125,'-125,613512.497975313,5842705.89317203,613543.360665168,5842727.41912933,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.61,-125,0,0,48.1,5,0,0
'-125,'-125,613512.497975313,5842705.89317203,613543.360665168,5842727.41912933,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.61,-125,0,0,48.1,5,0,0
'-125,'-125,613512.470993706,5842705.92974536,613543.202938779,5842727.35924701,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.45,-125,0,0,48,5,0,0
'-125,'-125,613512.470993706,5842705.92974536,613543.202938779,5842727.35924701,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.45,-125,0,0,48,5,0,0
'-125,'-125,613512.462740281,5842705.94093281,613543.073346484,5842727.28091792,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.3,-125,0,0,47.9,5,0,0
'-125,'-125,613512.462740281,5842705.94093281,613543.073346484,5842727.28091792,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.3,-125,-0.999999888,0,47.9,5,-0.06756756,-0.999999888
'-125,'-125,613512.529863807,5842705.84994746,613543.150857092,5842727.19759554,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.31,-125,-0.999999888,0,48,5,-0.06756756,-0.999999888
'-125,'-125,613512.529863807,5842705.84994746,613543.150857092,5842727.19759554,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.31,-125,-1.99999948,0,48,5,-0.1351351,-1.99999948
'-125,'-125,613512.600121637,5842705.7547136,613543.151355208,5842727.05089714,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.23,-125,-1.99999948,0,48.1,5,-0.1351351,-1.99999948
'-125,'-125,613512.600121637,5842705.7547136,613543.151355208,5842727.05089714,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.23,-125,-1.99999948,0,48.1,5,-0.1351351,-1.99999948
'-125,'-125,613512.478201097,5842705.91997581,613542.873819647,5842727.10135593,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.03,-125,-1.99999948,0,47.9,4,-0.1351351,-1.99999948
'-125,'-125,613512.478201097,5842705.91997581,613542.873819647,5842727.10135593,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.03,-125,-1.99999948,0,47.9,4,-0.1351351,-1.99999948
'-125,'-125,613512.478201097,5842705.91997581,613542.873819647,5842727.10135593,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.03,-125,-1.99999948,0,47.9,4,-0.1351351,-1.99999948
'-125,'-125,613512.4942395,5842705.89823589,613542.463090618,5842726.76477263,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.5,-125,31.9999976,0,47.7,5,2.162162,31.9999976
'-125,'-125,613512.4942395,5842705.89823589,613542.463090618,5842726.76477263,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.5,-125,44.999992,0,47.7,5,3.04054,44.999992
'-125,'-125,613513.027245744,5842705.17575065,613543.342039754,5842726.29750328,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.93,-125,59.9999992,0,48.7,5,4.054054,59.9999992
'-125,'-125,613513.027245744,5842705.17575065,613543.342039754,5842726.29750328,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.93,-125,72.000002,0,48.7,5,4.864865,72.000002
'-125,'-125,613512.337276329,5842706.11099808,613543.105289503,5842727.56710861,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.5,-125,83.99999,0,47.8,5,5.675675,83.99999
'-125,'-125,613512.100100608,5842706.43248767,613542.989826083,5842727.97839023,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.65,-125,96.9999992,0,47.4,5,6.554054,96.9999992
'-125,'-125,613512.100100608,5842706.43248767,613542.989826083,5842727.97839023,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.65,-125,107.9999956,0,47.4,5,7.297297,107.9999956
'-125,'-125,613512.100100608,5842706.43248767,613542.989826083,5842727.97839023,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.65,-125,114.999996,0,47.4,5,7.77027,114.999996
'-125,'-125,613512.059049815,5842706.48813166,613542.91367922,5842728.00814244,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.6,-125,118.0000004,0,47.3,4,7.972973,118.0000004
'-125,'-125,613511.981654807,5842706.59303991,613542.873315537,5842728.14037018,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.65,-125,119.0000068,0,47.2,5,8.040541,119.0000068
'-125,'-125,613511.981654807,5842706.59303991,613542.873315537,5842728.14037018,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.65,-125,119.0000068,0,47.2,5,8.040541,119.0000068
'-125,'-125,613511.981654807,5842706.59303991,613542.873315537,5842728.14037018,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.65,-125,119.0000068,0,47.2,5,8.040541,119.0000068
'-125,'-125,613511.953605682,5842706.63106025,613542.868757014,5842728.19572047,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.68,-125,119.0000068,0,47.2,5,8.040541,119.0000068
'-125,'-125,613511.953605682,5842706.63106025,613542.868757014,5842728.19572047,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.68,-125,119.0000068,0,47.2,5,8.040541,119.0000068
'-125,'-125,613511.926263061,5842706.66812293,613542.908847557,5842728.2825313,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.76,-125,119.0000068,0,47.2,5,8.040541,119.0000068
'-125,'-125,613511.926263061,5842706.66812293,613542.908847557,5842728.2825313,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.76,-125,119.0000068,0,47.2,5,8.040541,119.0000068
'-125,'-125,613511.925358886,5842706.66934853,613542.896072744,5842728.27499945,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.75,-125,118.0000004,0,47.2,5,7.972973,118.0000004
'-125,'-125,613511.925358886,5842706.66934853,613542.896072744,5842728.27499945,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.75,-125,118.0000004,0,47.2,5,7.972973,118.0000004
'-125,'-125,613511.91570465,5842706.68243476,613542.750692687,5842728.18795532,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.58,-125,117.0000088,0,47.1,5,7.905406,117.0000088
'-125,'-125,613511.91570465,5842706.68243476,613542.750692687,5842728.18795532,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.58,-125,117.0000088,0,47.1,5,7.905406,117.0000088
'-125,'-125,613511.88203393,5842706.72807512,613542.547144071,5842728.10826997,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.37,-125,117.0000088,0,47,5,7.905406,117.0000088
'-125,'-125,613511.88203393,5842706.72807512,613542.547144071,5842728.10826997,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.37,-125,120.99999,0,47,5,8.175675,120.99999
'-125,'-125,613511.867426112,5842706.74787589,613542.327794753,5842727.97702475,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.11,-125,121.9999964,0,46.9,5,8.243243,121.9999964
'-125,'-125,613511.512498587,5842707.22897701,613541.862372164,5842728.37660924,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.98,-125,121.9999964,0,46.3,5,8.243243,121.9999964
'-125,'-125,613511.512498587,5842707.22897701,613541.862372164,5842728.37660924,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.98,-125,119.9999984,0,46.3,5,8.108108,119.9999984
'-125,'-125,613511.304350391,5842707.51112004,613541.94879512,5842728.87606919,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.34,-125,118.0000004,0,46.1,5,7.972973,118.0000004
'-125,'-125,613511.304350391,5842707.51112004,613541.94879512,5842728.87606919,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.34,-125,116.0000024,0,46.1,5,7.837838,116.0000024
'-125,'-125,613511.070810238,5842707.82768165,613541.588510907,5842729.09912664,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.19,-125,114.0000044,0,45.6,5,7.702703,114.0000044
'-125,'-125,613511.070810238,5842707.82768165,613541.588510907,5842729.09912664,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,37.19,-125,111,0,45.6,5,7.5,111
'-125,'-125,613511.155936379,5842707.71229392,613541.448239363,5842728.81745403,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.91,-125,107.9999956,0,45.7,5,7.297297,107.9999956
'-125,'-125,613511.155936379,5842707.71229392,613541.448239363,5842728.81745403,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.91,-125,104.9999912,0,45.7,5,7.094594,104.9999912
'-125,'-125,613511.061223504,5842707.84067639,613541.126842815,5842728.77860288,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.62,-125,100.9999952,0,45.5,5,6.824324,100.9999952
'-125,'-125,613510.977026758,5842707.95480433,613540.855991434,5842728.75502824,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.39,-125,98.0000056,0,45.3,5,6.621622,98.0000056
'-125,'-125,613510.977026758,5842707.95480433,613540.855991434,5842728.75502824,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.39,-125,96.9999992,0,45.3,5,6.554054,96.9999992
'-125,'-125,613510.858213495,5842708.11585466,613540.458266275,5842728.71031411,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.05,-125,95.9999928,0,45,5,6.486486,95.9999928
'-125,'-125,613510.858213495,5842708.11585466,613540.458266275,5842728.71031411,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,36.05,-125,95.9999928,0,45,5,6.486486,95.9999928
'-125,'-125,613510.857668477,5842708.11659342,613540.336461829,5842728.62159495,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,35.9,-125,95.9999928,0,44.9,5,6.486486,95.9999928
'-125,'-125,613510.857668477,5842708.11659342,613540.336461829,5842728.62159495,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,35.9,-125,95.9999928,0,44.9,5,6.486486,95.9999928
'-125,'-125,613510.838131643,5842708.14307543,613540.080342126,5842728.47354032,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,35.6,-125,96.9999992,0,44.8,5,6.554054,96.9999992
'-125,'-125,613510.838131643,5842708.14307543,613540.080342126,5842728.47354032,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,35.6,-125,100.9999952,0,44.8,5,6.824324,100.9999952
'-125,'-125,613510.732444064,5842708.286334,613539.764174925,5842728.46151966,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,35.34,-125,103.9999996,0,44.6,4,7.027027,103.9999996
'-125,'-125,613510.741816563,5842708.27362967,613539.68934423,5842728.38669526,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,35.23,-125,103.9999996,0,44.6,5,7.027027,103.9999996
'-125,'-125,613510.741816563,5842708.27362967,613539.68934423,5842728.38669526,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,35.23,-125,103.9999996,0,44.6,5,7.027027,103.9999996
'-125,'-125,613510.746191353,5842708.26769968,613539.521721866,5842728.2538761,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,35.02,-125,102.9999932,0,44.5,5,6.959459,102.9999932
'-125,'-125,613510.746191353,5842708.26769968,613539.521721866,5842728.2538761,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,35.02,-125,103.9999996,0,44.5,5,7.027027,103.9999996
'-125,'-125,613510.781416724,5842708.219952,613539.500055416,5842728.16415705,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.95,-125,102.9999932,0,44.5,5,6.959459,102.9999932
'-125,'-125,613510.781416724,5842708.219952,613539.500055416,5842728.16415705,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.95,-125,102.9999932,0,44.5,5,6.959459,102.9999932
'-125,'-125,613510.789871268,5842708.20849194,613539.449536255,5842728.10918973,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.88,-125,102.9999932,0,44.5,5,6.959459,102.9999932
'-125,'-125,613510.789871268,5842708.20849194,613539.449536255,5842728.10918973,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.88,-125,102.9999932,0,44.5,5,6.959459,102.9999932
'-125,'-125,613510.81428767,5842708.17539572,613539.404766016,5842728.02505176,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.79,-125,103.9999996,0,44.6,5,7.027027,103.9999996
'-125,'-125,613510.81428767,5842708.17539572,613539.404766016,5842728.02505176,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.79,-125,103.9999996,0,44.6,5,7.027027,103.9999996
'-125,'-125,613510.824773381,5842708.16118243,613539.34825555,5842727.96141272,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.71,-125,104.9999912,0,44.5,5,7.094594,104.9999912
'-125,'-125,613510.824773381,5842708.16118243,613539.34825555,5842727.96141272,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.71,-125,104.9999912,0,44.5,5,7.094594,104.9999912
'-125,'-125,613510.82221946,5842708.16464425,613539.263662965,5842727.90435133,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.61,-125,105.9999976,0,44.5,5,7.162162,105.9999976
'-125,'-125,613510.82221946,5842708.16464425,613539.263662965,5842727.90435133,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.61,-125,107.000004,0,44.5,5,7.22973,107.000004
'-125,'-125,613510.836103105,5842708.14582509,613539.155836785,5842727.79574197,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.45,-125,105.9999976,0,44.5,5,7.162162,105.9999976
'-125,'-125,613510.836103105,5842708.14582509,613539.155836785,5842727.79574197,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.45,-125,104.9999912,0,44.5,5,7.094594,104.9999912
'-125,'-125,613510.821533589,5842708.16557394,613538.936599921,5842727.66449954,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.2,-125,103.9999996,0,44.4,5,7.027027,103.9999996
'-125,'-125,613510.821533589,5842708.16557394,613538.936599921,5842727.66449954,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34.2,-125,102.9999932,0,44.4,5,6.959459,102.9999932
'-125,'-125,613510.821552345,5842708.16554852,613538.772310816,5842727.54325764,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34,-125,102.0000016,0,44.3,5,6.891892,102.0000016
'-125,'-125,613510.821552345,5842708.16554852,613538.772310816,5842727.54325764,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,34,-125,100.9999952,0,44.3,5,6.824324,100.9999952
'-125,'-125,613510.832454425,5842708.15077085,613538.574225378,5842727.37430152,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,33.74,-125,100.0000036,0,44.3,4,6.756757,100.0000036
'-125,'-125,613510.832454425,5842708.15077085,613538.574225378,5842727.37430152,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,33.74,-125,98.9999972,0,44.3,4,6.689189,98.9999972
'-125,'-125,613510.846099398,5842708.13227521,613538.470373174,5842727.26912351,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,33.59,-125,98.0000056,0,44.3,4,6.621622,98.0000056
'-125,'-125,613510.846099398,5842708.13227521,613538.470373174,5842727.26912351,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,33.59,-125,96.9999992,0,44.3,4,6.554054,96.9999992
'-125,'-125,613510.923684106,5842708.02710982,613538.424836787,5842727.07312677,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,33.44,-125,91.0000052,0,44.4,5,6.148649,91.0000052
'-125,'-125,613510.923684106,5842708.02710982,613538.424836787,5842727.07312677,613507.274766662,5842712.9731851,613489.830359472,5842736.61892455,33.44,-125,84.9999964,0,44.4,5,5.743243,84.9999964
