Aimx,Aimy,Currentx1,Currenty1,Startx,Starty,Finishx,Finishy,dist,ss
613492.186603278,5842733.75096054,613491.550287352,5842734.52381538,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.05,0
613492.186603278,5842733.75096054,613491.550287352,5842734.52381538,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.05,0
613491.908663113,5842734.12277877,613491.269357367,5842734.89339867,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.05,0
613491.908663113,5842734.12277877,613491.269357367,5842734.89339867,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.05,0
613491.704814611,5842734.39547988,613491.248646759,5842735.30299832,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.18,0
613491.704814611,5842734.39547988,613491.248646759,5842735.30299832,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.18,0
613491.524701609,5842734.63642849,613491.308320967,5842735.72319177,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.48,0
613491.462374759,5842734.71980708,613491.549395538,5842736.03336785,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.86,0
613491.462374759,5842734.71980708,613491.549395538,5842736.03336785,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.86,0
613491.477021995,5842734.70021255,613491.94091882,5842736.29549427,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,1.33,0
613491.477021995,5842734.70021255,613491.94091882,5842736.29549427,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,1.33,0
613491.54775558,5842734.60558773,613492.338224623,5842736.44498749,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,1.73,0
613491.54775558,5842734.60558773,613492.338224623,5842736.44498749,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,1.73,0
613491.675532696,5842734.43465216,613492.746118149,5842736.48344348,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.08,0
613491.872705637,5842734.17088138,613493.143053779,5842736.36899855,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.33,0
613491.872705637,5842734.17088138,613493.143053779,5842736.36899855,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.33,0
613492.092599597,5842733.87671524,613493.512188204,5842736.18639209,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.52,0
613492.092599597,5842733.87671524,613493.512188204,5842736.18639209,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.52,0
613492.346442411,5842733.53713357,613493.831811308,5842735.89598225,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.6,0
613492.346442411,5842733.53713357,613493.831811308,5842735.89598225,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.6,0
613492.61052431,5842733.18385442,613494.070018767,5842735.52336153,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.57,0
613492.847970225,5842732.86620792,613494.190291739,5842735.11812635,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.42,0
613492.847970225,5842732.86620792,613494.190291739,5842735.11812635,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.42,0
613493.045204491,5842732.60235509,613494.175820912,5842734.69602054,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.16,0
613493.045204491,5842732.60235509,613494.175820912,5842734.69602054,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,2.16,0
613493.214643056,5842732.37568635,613494.101800801,5842734.28736249,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,1.86,0
613493.214643056,5842732.37568635,613494.101800801,5842734.28736249,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,1.86,0
613493.30917788,5842732.24922111,613493.856401077,5842733.90679065,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,1.43,0
613493.30917788,5842732.24922111,613493.856401077,5842733.90679065,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,1.43,0
613493.361367985,5842732.17940308,613493.59049122,5842733.59918774,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,1.03,0
613493.361367985,5842732.17940308,613493.59049122,5842733.59918774,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,1.03,0
613493.439660841,5842732.07466575,613493.357485633,5842733.26174977,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.64,0
613493.439660841,5842732.07466575,613493.357485633,5842733.26174977,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.64,0
