latitude(deg)  longitude(deg)
latitude(deg)  longitude(deg)
52.722429678  -7.319251692
52.722429499  -7.319252591
52.722429087  -7.319253126
52.722429024  -7.319253961
52.722428304  -7.319254512
52.722427784  -7.319255377
52.722427095  -7.319255662
52.722426177  -7.31925548
52.722424721  -7.319255094
52.722423761  -7.319254566
52.72242306  -7.31925383
52.722422429  -7.319253167
52.722422034  -7.319252564
52.722421338  -7.319252302
52.722421022  -7.319252222
52.722420869  -7.319252115
52.722420806  -7.319252208
52.722420743  -7.319252429
52.722420715  -7.319252483
52.722420784  -7.319252433
52.722420513  -7.319252342
52.722420661  -7.319252353
52.722420519  -7.319252288
52.722420565  -7.319252317
52.722420415  -7.319252152
52.722420296  -7.319251988
52.722420205  -7.31925179
52.722420086  -7.319251605
52.722420065  -7.319251561
52.722420098  -7.319251578
52.72242041  -7.319251653
52.722420598  -7.319251747
52.722420779  -7.319251778
52.722420799  -7.319251726
52.722420945  -7.319251625
52.722421007  -7.319251454
52.722421051  -7.319251395
52.722421202  -7.319251369
52.722421361  -7.319251369
52.722421655  -7.319251388
52.722421737  -7.319251268
52.722421926  -7.319251144
52.722422094  -7.319251078
52.722422134  -7.319250911
52.722422207  -7.319250774
52.722422312  -7.319250677
52.722422536  -7.319250644
52.722422666  -7.319250516
52.722422857  -7.31925044
52.722423059  -7.319250454
52.722423269  -7.319250379
52.722423493  -7.31925042
52.72242365  -7.319250308
52.722423754  -7.319250312
52.722423854  -7.319250253
52.722424071  -7.31925023
52.722424239  -7.319250134
52.722424221  -7.319250173
52.722424163  -7.319250166
52.722424121  -7.319250218
52.722424165  -7.319250189
52.722424215  -7.319250127
52.722424445  -7.319250137
52.722424554  -7.3192502
52.722424654  -7.319250145
52.722424687  -7.319250204
52.722424801  -7.319250241
52.722424965  -7.319250304
52.722425045  -7.319250263
52.722425142  -7.319250241
52.72242529  -7.319250218
52.722425363  -7.319250204
52.722425381  -7.319250159
52.722425464  -7.319250131
52.722425533  -7.319250098
52.722425628  -7.319250093
52.722425703  -7.319250053
52.722425821  -7.319249991
52.722425994  -7.319249967
52.722426082  -7.319249976
52.722426107  -7.319249997
52.722426179  -7.319249997
52.722426314  -7.319250071
52.722426408  -7.319250152
52.722426462  -7.319250284
52.72242656  -7.319250334
52.722426644  -7.319250395
52.722426724  -7.319250454
52.722426807  -7.319250521
52.722426864  -7.319250543
52.722426911  -7.319250675
52.722426972  -7.319250752
52.722427008  -7.31925082
52.722427049  -7.319250865
52.722427162  -7.319250969
52.722427232  -7.319251127
52.722427258  -7.319251148
52.7224273  -7.319251196
52.722427352  -7.319251299
52.722427414  -7.319251359
52.722427481  -7.31925144
52.722427519  -7.319251461
52.722427543  -7.319251514
52.722427549  -7.319251555
52.722427524  -7.319251495
52.722427555  -7.319251531
52.722427534  -7.319251543
52.722427526  -7.319251561
52.722427517  -7.319251538
52.72242748  -7.319251547
52.722427515  -7.319251527
52.722427522  -7.319251551
52.722427553  -7.319251567
52.722427576  -7.3192516
52.722427588  -7.319251565
52.722427574  -7.319251478
52.722427552  -7.319251431
52.722427519  -7.319251419
52.722427477  -7.319251415
52.722427417  -7.319251454
52.722427425  -7.319251466
52.722427362  -7.319251545
52.722427363  -7.319251537
52.722427325  -7.319251581
52.722427324  -7.319251601
52.722427372  -7.319251616
52.722427399  -7.319251616
52.722427428  -7.319251592
52.72242739  -7.319251539
52.722427426  -7.319251464
52.722427429  -7.319251422
52.722427488  -7.319251369
52.722427545  -7.31925134
52.722427575  -7.319251336
52.722427616  -7.319251319
52.722427684  -7.319251264
52.722427747  -7.319251262
52.722427799  -7.319251239
52.722427816  -7.319251213
52.722427879  -7.319251199
52.722427916  -7.319251176
52.722427979  -7.319251196
52.722428019  -7.319251159
52.722428066  -7.319251152
52.722428075  -7.319251139
52.722428099  -7.319251165
52.722428147  -7.319251168
