AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,AveErr,ErrDeg
'-35,'-35,108.101201705994,108.36012874608573,114.0,100.0,110.0,110.0,220.0,205.0, 10.183,-35,0,0,46.5,0,0,0
'-35,'-35,108.101201705994,108.36012874608573,114.0,100.0,110.0,110.0,220.0,205.0, 10.183,-35,0,0,46.5,0,0,0
'-35,'-35,108.101201705994,108.36012874608573,114.0,100.0,110.0,110.0,220.0,205.0, 10.183,-35,0,0,46.5,0,0,0
'-35,'-35,108.101201705994,108.36012874608573,114.0,100.0,110.0,110.0,220.0,205.0, 10.183,-35,0,0,46.5,0,0,0
'-35,'-35,108.101201705994,108.36012874608573,114.0,100.0,110.0,110.0,220.0,205.0, 10.183,-35,0,0,46.5,0,0,0
'-35,'-7,108.39020769966025,108.60972483152476,113.69567766812702,100.93660783080024,110.0,110.0,220.0,205.0, 9.275,-7,-26,-28,45.5,0,0,0
'-35,'-7,108.39020769966025,108.60972483152476,113.69567766812702,100.93660783080024,110.0,110.0,220.0,205.0, 9.275,-7,-26,-28,45.5,0,0,0
'-35,'-7,108.39020769966025,108.60972483152476,113.69567766812702,100.93660783080024,110.0,110.0,220.0,205.0, 9.275,-7,-26,-28,45.5,0,0,0
'-35,'-7,108.39020769966025,108.60972483152476,113.69567766812702,100.93660783080024,110.0,110.0,220.0,205.0, 9.275,-7,-26,-28,45.5,0,0,0
'-35,'-7,108.39020769966025,108.60972483152476,113.69567766812702,100.93660783080024,110.0,110.0,220.0,205.0, 9.275,-7,-26,-28,45.5,0,0,0
'-35,'-7,108.39020769966025,108.60972483152476,113.69567766812702,100.93660783080024,110.0,110.0,220.0,205.0, 9.275,-7,-26,-28,45.5,0,0,0
'-34,'2,108.42197162956509,108.63715731644258,113.40178504198079,101.34111632798772,110.0,110.0,220.0,205.0, 8.777,2,-20,-36,45.0,0,0,0
'-34,'2,108.42197162956509,108.63715731644258,113.40178504198079,101.34111632798772,110.0,110.0,220.0,205.0, 8.777,2,-20,-36,45.0,0,0,0
'-34,'2,108.42197162956509,108.63715731644258,113.40178504198079,101.34111632798772,110.0,110.0,220.0,205.0, 8.777,2,-20,-36,45.0,0,0,0
'-34,'2,108.42197162956509,108.63715731644258,113.40178504198079,101.34111632798772,110.0,110.0,220.0,205.0, 8.777,2,-20,-36,45.0,0,0,0
'-34,'2,108.42197162956509,108.63715731644258,113.40178504198079,101.34111632798772,110.0,110.0,220.0,205.0, 8.777,2,-20,-36,45.0,0,0,0
'-34,'2,108.42197162956509,108.63715731644258,113.40178504198079,101.34111632798772,110.0,110.0,220.0,205.0, 8.777,2,-20,-36,45.0,0,0,0
'-34,'2,108.42197162956509,108.63715731644258,113.40178504198079,101.34111632798772,110.0,110.0,220.0,205.0, 8.777,2,-20,-36,45.0,0,0,0
'-34,'2,108.42197162956509,108.63715731644258,113.40178504198079,101.34111632798772,110.0,110.0,220.0,205.0, 8.777,2,-20,-36,45.0,0,0,0
'-34,'2,108.42197162956509,108.63715731644258,113.40178504198079,101.34111632798772,110.0,110.0,220.0,205.0, 8.777,2,-20,-36,45.0,0,0,0
'-34,'2,108.42197162956509,108.63715731644258,113.40178504198079,101.34111632798772,110.0,110.0,220.0,205.0, 8.777,2,-20,-36,45.0,0,0,0
'-34,'2,108.45373555946993,108.66458980136039,113.10789241583456,101.7456248251752,110.0,110.0,220.0,205.0, 8.278,2,0,-36,44.5,0,0,0
'-34,'2,108.45373555946993,108.66458980136039,113.10789241583456,101.7456248251752,110.0,110.0,220.0,205.0, 8.278,2,0,-36,44.5,0,0,0
'-34,'2,108.45373555946993,108.66458980136039,113.10789241583456,101.7456248251752,110.0,110.0,220.0,205.0, 8.278,2,0,-36,44.5,0,0,0
'-34,'2,108.45373555946993,108.66458980136039,113.10789241583456,101.7456248251752,110.0,110.0,220.0,205.0, 8.278,2,0,-36,44.5,0,0,0
'-34,'2,108.45373555946993,108.66458980136039,113.10789241583456,101.7456248251752,110.0,110.0,220.0,205.0, 8.278,2,0,-36,44.5,0,0,0
'-34,'2,108.45373555946993,108.66458980136039,113.10789241583456,101.7456248251752,110.0,110.0,220.0,205.0, 8.278,2,0,-36,44.5,0,0,0
'-34,'2,108.45373555946993,108.66458980136039,113.10789241583456,101.7456248251752,110.0,110.0,220.0,205.0, 8.278,2,0,-36,44.5,0,0,0
'-34,'2,108.45373555946993,108.66458980136039,113.10789241583456,101.7456248251752,110.0,110.0,220.0,205.0, 8.278,2,0,-36,44.5,0,0,0
'-34,'2,108.45373555946993,108.66458980136039,113.10789241583456,101.7456248251752,110.0,110.0,220.0,205.0, 8.278,2,0,-36,44.5,0,0,0
'-34,'2,108.45373555946993,108.66458980136039,113.10789241583456,101.7456248251752,110.0,110.0,220.0,205.0, 8.278,2,0,-36,44.5,0,0,0
'-33,'2,108.49207553539827,108.69770159875306,112.82110419765904,102.15520084731969,110.0,110.0,220.0,205.0, 7.781,2,2,-35,44.1,0,0,0
'-33,'2,108.49207553539827,108.69770159875306,112.82110419765904,102.15520084731969,110.0,110.0,220.0,205.0, 7.781,2,2,-35,44.1,0,0,0
'-33,'2,108.49207553539827,108.69770159875306,112.82110419765904,102.15520084731969,110.0,110.0,220.0,205.0, 7.781,2,2,-35,44.1,0,0,0
'-33,'2,108.49207553539827,108.69770159875306,112.82110419765904,102.15520084731969,110.0,110.0,220.0,205.0, 7.781,2,2,-35,44.1,0,0,0
'-33,'2,108.49207553539827,108.69770159875306,112.82110419765904,102.15520084731969,110.0,110.0,220.0,205.0, 7.781,2,2,-35,44.1,0,0,0
'-33,'2,108.49207553539827,108.69770159875306,112.82110419765904,102.15520084731969,110.0,110.0,220.0,205.0, 7.781,2,2,-35,44.1,0,0,0
'-33,'2,108.49207553539827,108.69770159875306,112.82110419765904,102.15520084731969,110.0,110.0,220.0,205.0, 7.781,2,2,-35,44.1,0,0,0
'-33,'2,108.49207553539827,108.69770159875306,112.82110419765904,102.15520084731969,110.0,110.0,220.0,205.0, 7.781,2,2,-35,44.1,0,0,0
'-33,'2,108.49207553539827,108.69770159875306,112.82110419765904,102.15520084731969,110.0,110.0,220.0,205.0, 7.781,2,2,-35,44.1,0,0,0
'-33,'2,108.49207553539827,108.69770159875306,112.82110419765904,102.15520084731969,110.0,110.0,220.0,205.0, 7.781,2,2,-35,44.1,0,0,0
'-33,'1,108.53697987862202,108.73648262244629,112.54150774592367,102.56971963359722,110.0,110.0,220.0,205.0, 7.285,1,2,-34,43.6,0,0,0
'-33,'1,108.53697987862202,108.73648262244629,112.54150774592367,102.56971963359722,110.0,110.0,220.0,205.0, 7.285,1,2,-34,43.6,0,0,0
'-33,'1,108.53697987862202,108.73648262244629,112.54150774592367,102.56971963359722,110.0,110.0,220.0,205.0, 7.285,1,2,-34,43.6,0,0,0
'-33,'1,108.53697987862202,108.73648262244629,112.54150774592367,102.56971963359722,110.0,110.0,220.0,205.0, 7.285,1,2,-34,43.6,0,0,0
