AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual
'52,'52,3208083.454102344,2462309.1615445665,2,2,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 4044099.8,52,0,0,5022309.3,0
'-129,'-129,613508.6252916538,5842717.283751335,613546.6073032933,5842747.696796985,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.65,-129,0,0,12.9,4
'-129,'-129,613508.6260323734,5842717.28278627,613546.6041301733,5842747.6928279195,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.64,-129,0,0,12.9,4
'-129,'-129,613508.6260323734,5842717.28278627,613546.6041301733,5842747.6928279195,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.64,-129,0,0,12.9,4
'-129,'-129,613508.6247155056,5842717.284501985,613546.604952667,5842747.696185664,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.65,-129,0,0,12.9,4
'-129,'-129,613508.6247155056,5842717.284501985,613546.604952667,5842747.696185664,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.65,-129,0,0,12.9,4
'-129,'-129,613508.6253023403,5842717.283737412,613546.6060868569,5842747.695841205,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.65,-129,0,0,12.9,4
'-129,'-129,613508.6253023403,5842717.283737412,613546.6060868569,5842747.695841205,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.65,-129,0,0,12.9,4
'-129,'-129,613508.6262137358,5842717.282549977,613546.6061301519,5842747.693987475,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.64,-129,0,0,12.9,4
'-129,'-129,613508.6262137358,5842717.282549977,613546.6061301519,5842747.693987475,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.64,-129,0,0,12.9,4
'-129,'-129,613508.6262137358,5842717.282549977,613546.6061301519,5842747.693987475,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.64,-129,0,0,12.9,4
'-129,'-129,613508.627134901,5842717.281349814,613546.6069483301,5842747.692708265,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.64,-129,0,0,12.9,4
'-129,'-129,613508.627134901,5842717.281349814,613546.6069483301,5842747.692708265,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.64,-129,0,0,12.9,4
'-129,'-129,613508.6239245612,5842717.285532487,613546.6072383509,5842747.69957758,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.65,-129,0,0,12.9,4
'-129,'-129,613508.6239245612,5842717.285532487,613546.6072383509,5842747.69957758,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.65,-129,0,0,12.9,4
'-129,'-129,613508.6239245612,5842717.285532487,613546.6072383509,5842747.69957758,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.65,-129,0,0,12.9,4
'-129,'-129,613508.6256864386,5842717.2832369795,613546.6076539411,5842747.696248754,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 48.65,-129,0,0,12.9,4
