AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual
'52,'52,3208083.454102344,2462309.1615445665,2,2,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 4044099.8,52,0,0,5022309.3,0
'-132,'-132,613519.4783029283,5842703.143628239,613530.1942761267,5842712.629089271,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4772799419,5842703.144961063,613530.1946700675,5842712.631509634,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4772799419,5842703.144961063,613530.1946700675,5842712.631509634,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4772799419,5842703.144961063,613530.1946700675,5842712.631509634,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4781104232,5842703.1438790485,613530.194488248,5842712.629650645,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4781104232,5842703.1438790485,613530.194488248,5842712.629650645,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4781104232,5842703.1438790485,613530.194488248,5842712.629650645,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4773710805,5842703.14484232,613530.1946743963,5842712.631324261,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4773710805,5842703.14484232,613530.1946743963,5842712.631324261,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4785958951,5842703.143246539,613530.1958388947,5842712.629682186,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4785958951,5842703.143246539,613530.1958388947,5842712.629682186,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4785958951,5842703.143246539,613530.1958388947,5842712.629682186,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4770372057,5842703.145277318,613530.193994744,5842712.631493864,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4770372057,5842703.145277318,613530.193994744,5842712.631493864,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4785865734,5842703.143258684,613530.1940683341,5842712.628342522,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4785865734,5842703.143258684,613530.1940683341,5842712.628342522,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4785865734,5842703.143258684,613530.1940683341,5842712.628342522,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4782927011,5842703.143641563,613530.1944969055,5842712.6292799,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4782927011,5842703.143641563,613530.1944969055,5842712.6292799,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4782927011,5842703.143641563,613530.1944969055,5842712.6292799,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4769562938,5842703.145382736,613530.1937696363,5842712.631488606,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4769562938,5842703.145382736,613530.1937696363,5842712.631488606,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4778876876,5842703.144169245,613530.1943670365,5842712.630018765,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4778876876,5842703.144169245,613530.1943670365,5842712.630018765,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4778876876,5842703.144169245,613530.1943670365,5842712.630018765,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4771483468,5842703.145132515,613530.1945531848,5842712.631692378,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4771483468,5842703.145132515,613530.1945531848,5842712.631692378,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4774324445,5842703.144762371,613530.1933497225,5842712.630180483,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4774324445,5842703.144762371,613530.1933497225,5842712.630180483,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4774324445,5842703.144762371,613530.1933497225,5842712.630180483,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4776040439,5842703.144538797,613530.1945748288,5842712.630765512,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4776040439,5842703.144538797,613530.1945748288,5842712.630765512,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4772092572,5842703.145053156,613530.1942241808,5842712.631313747,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4772092572,5842703.145053156,613530.1942241808,5842712.631313747,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4772092572,5842703.145053156,613530.1942241808,5842712.631313747,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.476986523,5842703.14534335,613530.1941029693,5842712.631681864,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.476986523,5842703.14534335,613530.1941029693,5842712.631681864,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4771483468,5842703.145132515,613530.1945531848,5842712.631692378,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
'-132,'-132,613519.4771483468,5842703.145132515,613530.1945531848,5842712.631692378,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 14.28,-132,0,0,11.8,4
