AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,Currentx1,Ccurrenty1
'83,'83,613498.323132597,5842741.41710513,613496.384218584,5842741.1735097,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,1.68,83,0,0,41.2,4,613496.384218584,5842741.1735097
'83,'83,613498.323132597,5842741.41710513,613496.384218584,5842741.1735097,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,1.68,83,0,0,41.2,4,613496.384218584,5842741.1735097
'83,'83,613498.323132597,5842741.41710513,613496.384218584,5842741.1735097,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,1.68,83,0,0,41.2,4,613496.384218584,5842741.1735097
'90,'90,613498.350639582,5842741.38182165,613496.733914346,5842741.38940439,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,1.27,90,0,0,41.2,4,613496.733914346,5842741.38940439
'90,'90,613498.350639582,5842741.38182165,613496.733914346,5842741.38940439,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,1.27,90,0,0,41.2,4,613496.733914346,5842741.38940439
'100,'100,613498.428914138,5842741.28141808,613497.109236951,5842741.52057931,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.89,100,0,0,41.2,4,613497.109236951,5842741.52057931
'100,'100,613498.428914138,5842741.28141808,613497.109236951,5842741.52057931,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.89,100,0,0,41.2,4,613497.109236951,5842741.52057931
'100,'100,613498.428914138,5842741.28141808,613497.109236951,5842741.52057931,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.89,100,0,0,41.2,4,613497.109236951,5842741.52057931
'115,'115,613498.529523316,5842741.15236568,613497.518243101,5842741.631953,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.5,115,0,0,41.1,4,613497.518243101,5842741.631953
'115,'115,613498.529523316,5842741.15236568,613497.518243101,5842741.631953,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.5,115,0,0,41.1,4,613497.518243101,5842741.631953
'134,'134,613498.674238796,5842740.96673767,613497.943049406,5842741.66468363,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.15,134,0,0,41,4,613497.943049406,5842741.66468363
'134,'134,613498.674238796,5842740.96673767,613497.943049406,5842741.66468363,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.15,134,0,0,41,4,613497.943049406,5842741.66468363
'134,'134,613498.674238796,5842740.96673767,613497.943049406,5842741.66468363,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.15,134,0,0,41,4,613497.943049406,5842741.66468363
'149,'149,613498.854781014,5842740.73515435,613498.335816305,5842741.59855054,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.12,149,0,0,40.8,4,613498.335816305,5842741.59855054
'149,'149,613498.854781014,5842740.73515435,613498.335816305,5842741.59855054,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.12,149,0,0,40.8,4,613498.335816305,5842741.59855054
'149,'149,613498.854781014,5842740.73515435,613498.335816305,5842741.59855054,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.12,149,0,0,40.8,4,613498.335816305,5842741.59855054
'157,'157,613499.110437994,5842740.40722057,613498.706807292,5842741.36053108,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.27,157,0,0,40.4,4,613498.706807292,5842741.36053108
'157,'157,613499.110437994,5842740.40722057,613498.706807292,5842741.36053108,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.27,157,0,0,40.4,4,613498.706807292,5842741.36053108
'158,'158,613499.381171901,5842740.05994746,613498.991135986,5842741.02385646,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.29,158,0,0,40,4,613498.991135986,5842741.02385646
'158,'158,613499.381171901,5842740.05994746,613498.991135986,5842741.02385646,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.29,158,0,0,40,4,613498.991135986,5842741.02385646
'158,'158,613499.381171901,5842740.05994746,613498.991135986,5842741.02385646,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.29,158,0,0,40,4,613498.991135986,5842741.02385646
'158,'158,613499.627155755,5842739.74442149,613499.236911056,5842740.70816772,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.28,158,0,0,39.6,4,613499.236911056,5842740.70816772
'158,'158,613499.627155755,5842739.74442149,613499.236911056,5842740.70816772,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.28,158,0,0,39.6,4,613499.236911056,5842740.70816772
'158,'158,613499.879562164,5842739.42065724,613499.497257458,5842740.39059349,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.29,158,0,0,39.2,4,613499.497257458,5842740.39059349
'158,'158,613499.879562164,5842739.42065724,613499.497257458,5842740.39059349,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.29,158,0,0,39.2,4,613499.497257458,5842740.39059349
'158,'158,613499.879562164,5842739.42065724,613499.497257458,5842740.39059349,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.29,158,0,0,39.2,4,613499.497257458,5842740.39059349
'161,'161,613500.166651212,5842739.05240523,613499.822508006,5842740.05209216,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.34,161,0,0,38.7,4,613499.822508006,5842740.05209216
'161,'161,613500.166651212,5842739.05240523,613499.822508006,5842740.05209216,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.34,161,0,0,38.7,4,613499.822508006,5842740.05209216
'160,'160,613500.434713347,5842738.70855923,613500.07894951,5842739.69918672,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,160,0,0,38.3,4,613500.07894951,5842739.69918672
'160,'160,613500.434713347,5842738.70855923,613500.07894951,5842739.69918672,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,160,0,0,38.3,4,613500.07894951,5842739.69918672
'160,'160,613500.434713347,5842738.70855923,613500.07894951,5842739.69918672,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,160,0,0,38.3,4,613500.07894951,5842739.69918672
'160,'160,613500.655078529,5842738.42589459,613500.292876661,5842739.41150299,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.32,160,0,0,38,4,613500.292876661,5842739.41150299
'160,'160,613500.655078529,5842738.42589459,613500.292876661,5842739.41150299,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.32,160,0,0,38,4,613500.292876661,5842739.41150299
'161,'161,613500.892672847,5842738.12112996,613500.542015637,5842739.11573858,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,161,0,0,37.6,4,613500.542015637,5842739.11573858
'161,'161,613500.892672847,5842738.12112996,613500.542015637,5842739.11573858,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,161,0,0,37.6,4,613500.542015637,5842739.11573858
'161,'161,613500.892672847,5842738.12112996,613500.542015637,5842739.11573858,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,161,0,0,37.6,4,613500.542015637,5842739.11573858
'159,'159,613501.144944954,5842737.79753799,613500.777470491,5842738.77903588,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.31,159,0,0,37.2,4,613500.777470491,5842738.77903588
'159,'159,613501.144944954,5842737.79753799,613500.777470491,5842738.77903588,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.31,159,0,0,37.2,4,613500.777470491,5842738.77903588
'161,'161,613501.383908394,5842737.49101718,613501.03917225,5842738.49024185,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.34,161,0,0,36.8,4,613501.03917225,5842738.49024185
'161,'161,613501.383908394,5842737.49101718,613501.03917225,5842738.49024185,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.34,161,0,0,36.8,4,613501.03917225,5842738.49024185
'161,'161,613501.383908394,5842737.49101718,613501.03917225,5842738.49024185,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.34,161,0,0,36.8,4,613501.03917225,5842738.49024185
'162,'162,613501.635478511,5842737.16832565,613501.306557839,5842738.17988006,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.36,162,0,0,36.4,4,613501.306557839,5842738.17988006
'162,'162,613501.635478511,5842737.16832565,613501.306557839,5842738.17988006,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.36,162,0,0,36.4,4,613501.306557839,5842738.17988006
'162,'162,613501.635478511,5842737.16832565,613501.306557839,5842738.17988006,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.36,162,0,0,36.4,4,613501.306557839,5842738.17988006
'162,'162,613501.901812392,5842736.8266965,613501.576190013,5842737.84082225,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.37,162,0,0,36,4,613501.576190013,5842737.84082225
'162,'162,613501.901812392,5842736.8266965,613501.576190013,5842737.84082225,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.37,162,0,0,36,4,613501.576190013,5842737.84082225
'161,'161,613502.168779908,5842736.48425458,613501.831363372,5842737.48918561,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.35,161,0,0,35.6,4,613501.831363372,5842737.48918561
'161,'161,613502.168779908,5842736.48425458,613501.831363372,5842737.48918561,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.35,161,0,0,35.6,4,613501.831363372,5842737.48918561
'161,'161,613502.168779908,5842736.48425458,613501.831363372,5842737.48918561,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.35,161,0,0,35.6,4,613501.831363372,5842737.48918561
'161,'161,613502.41313621,5842736.17081629,613502.073190775,5842737.17377579,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.35,161,0,0,35.2,4,613502.073190775,5842737.17377579
'161,'161,613502.41313621,5842736.17081629,613502.073190775,5842737.17377579,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.35,161,0,0,35.2,4,613502.073190775,5842737.17377579
'161,'161,613502.652658081,5842735.86357917,613502.30649448,5842736.861691,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.34,161,0,0,34.8,4,613502.30649448,5842736.861691
'161,'161,613502.652658081,5842735.86357917,613502.30649448,5842736.861691,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.34,161,0,0,34.8,4,613502.30649448,5842736.861691
'161,'161,613502.652658081,5842735.86357917,613502.30649448,5842736.861691,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.34,161,0,0,34.8,4,613502.30649448,5842736.861691
'163,'163,613502.90071968,5842735.54538806,613502.592516605,5842736.57309389,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,34.4,4,613502.592516605,5842736.57309389
'163,'163,613502.90071968,5842735.54538806,613502.592516605,5842736.57309389,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,34.4,4,613502.592516605,5842736.57309389
'161,'161,613503.161465786,5842735.2109264,613502.821404522,5842736.21379561,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.35,161,0,0,34,4,613502.821404522,5842736.21379561
'161,'161,613503.161465786,5842735.2109264,613502.821404522,5842736.21379561,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.35,161,0,0,34,4,613502.821404522,5842736.21379561
'161,'161,613503.161465786,5842735.2109264,613502.821404522,5842736.21379561,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.35,161,0,0,34,4,613502.821404522,5842736.21379561
'160,'160,613503.403372683,5842734.90062998,613503.05017583,5842735.8932587,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,160,0,0,33.6,4,613503.05017583,5842735.8932587
'160,'160,613503.403372683,5842734.90062998,613503.05017583,5842735.8932587,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,160,0,0,33.6,4,613503.05017583,5842735.8932587
'160,'160,613503.642610978,5842734.59375661,613503.289328132,5842735.58631828,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,160,0,0,33.3,4,613503.289328132,5842735.58631828
'160,'160,613503.642610978,5842734.59375661,613503.289328132,5842735.58631828,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,160,0,0,33.3,4,613503.289328132,5842735.58631828
'160,'160,613503.642610978,5842734.59375661,613503.289328132,5842735.58631828,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.33,160,0,0,33.3,4,613503.289328132,5842735.58631828
'161,'161,613503.902872091,5842734.25991706,613503.563982292,5842735.26369954,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.35,161,0,0,32.9,4,613503.563982292,5842735.26369954
