AimAng1,AimAang2,Aimx,Aimy,GV.currentx1, GV.currenty1, GV.startx, GV.starty, GV.finishx, GV.finishy,dist, GV.Set_SteerAng, GV.Steerangle, GV.gogo,ToEndPoint
'-64,'-64,-1775637.4945343542,849621.0352503685,2,2,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 1968437.99,-64,0,0,5102020.47
'-64,'-64,-249470.29632449834,4039224.1296177297,5857097.23,1117334.62,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.95,-64,0,0,775735.49
'-64,'-64,-249470.29845853354,4039224.1251577167,5857097.23,1117334.62,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.94,-64,0,0,775735.5
'-64,'-64,-249470.29845853354,4039224.1251577167,5857097.23,1117334.62,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.94,-64,0,0,775735.5
'-64,'-64,-249470.29845853354,4039224.1251577167,5857097.23,1117334.62,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.94,-64,0,0,775735.5
'-64,'-64,-249470.26862599014,4039224.1875060447,5857097.22,1117334.7,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.9,-64,0,0,775735.44
'-64,'-64,-249470.26917398238,4039224.186360772,5857097.22,1117334.7,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.9,-64,0,0,775735.44
'-64,'-64,-249470.26917398238,4039224.186360772,5857097.22,1117334.7,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.9,-64,0,0,775735.44
'-64,'-64,-249470.26917398238,4039224.186360772,5857097.221206152,1117334.7245442036,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.9,-64,0,0,775735.44
'-64,'-64,-249470.25939315444,4039224.206802149,5857097.22,1117334.72,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.89,-64,0,0,775735.42
'-64,'-64,-249470.26138711008,4039224.2026348943,5857097.22,1117334.72,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.89,-64,0,0,775735.42
'-64,'-64,-249470.26138711008,4039224.2026348943,5857097.22,1117334.72,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.89,-64,0,0,775735.42
'-64,'-64,-249470.24092748287,4039224.2453943575,5857097.22,1117334.77,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.86,-64,0,0,775735.38
'-64,'-64,-249470.24191992884,4039224.2433202015,5857097.22,1117334.77,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.87,-64,0,0,775735.38
'-64,'-64,-249470.24191992884,4039224.2433202015,5857097.22,1117334.77,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.87,-64,0,0,775735.38
'-64,'-64,-249470.24191992884,4039224.2433202015,5857097.22,1117334.77,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.87,-64,0,0,775735.38
'-64,'-64,-249470.23169464734,4039224.2646904616,5857097.21,1117334.8,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.85,-64,0,0,775735.36
